day,Market
2015/4/29,-0.069371196
2015/4/30,-0.04911835
2015/5/1,0.165665902
2015/5/2,-0.029187803
2015/5/3,0.115308142
2015/5/4,-0.036329317
2015/5/5,-0.241807902
2015/5/6,0.079131302
2015/5/7,0.096771041
2015/5/8,0.107851387
2015/5/9,-0.062785136
2015/5/10,-0.141798747
2015/5/11,0.073636351
2015/5/12,-0.163663737
2015/5/13,0.055942242
2015/5/14,0.110104048
2015/5/15,0.031274387
2015/5/16,0.098711814
2015/5/17,0.028917363
2015/5/18,-0.041743642
2015/5/19,-0.083947973
2015/5/20,0.06596212
2015/5/21,-0.086190636
2015/5/22,0.084875393
2015/5/23,0.085668314
2015/5/24,0.126152272
2015/5/25,-0.236721431
2015/5/26,-0.074743278
2015/5/27,0.155396229
2015/5/28,-0.044749567
2015/5/29,-0.189466323
2015/5/30,0.200868502
2015/5/31,-0.068934968
2015/6/1,-0.05724471
2015/6/2,0.025910526
2015/6/3,0.017933826
2015/6/4,-0.026415836
2015/6/5,0.060732671
2015/6/6,0.241207789
2015/6/7,-0.123430539
2015/6/8,-0.142025781
2015/6/9,0.00110707
2015/6/10,0.017303699
2015/6/11,-0.094226489
2015/6/12,0.067856394
2015/6/13,0.109533042
2015/6/14,-0.060014039
2015/6/15,-0.033085783
2015/6/16,-0.134552649
2015/6/17,0.085982346
2015/6/18,0.060849522
2015/6/19,0.003685628
2015/6/20,0.122288141
2015/6/21,-0.052900306
2015/6/22,-0.064360266
2015/6/23,-0.021070605
2015/6/24,-0.123372712
2015/6/25,-0.057775912
2015/6/26,0.027078375
2015/6/27,-0.016070592
2015/6/28,-0.278961393
2015/6/29,-0.015583367
2015/6/30,0.343413392
2015/7/1,-0.022438436
2015/7/2,-0.081131331
2015/7/3,0.03324311
2015/7/4,0.251593907
2015/7/5,-0.482557662
2015/7/6,0.111764411
2015/7/7,0.035805931
2015/7/8,0.000932582
2015/7/9,0.120751826
2015/7/10,0.146514148
2015/7/11,-0.014463061
2015/7/12,0.056311521
2015/7/13,-0.029393603
2015/7/14,-0.015891359
2015/7/15,-0.139442157
2015/7/16,0.164895338
2015/7/17,-0.123251682
2015/7/18,0.222596386
2015/7/19,-0.106097403
2015/7/20,-0.204053151
2015/7/21,0.046599275
2015/7/22,0.077316355
2015/7/23,-0.027699945
2015/7/24,-0.125584039
2015/7/25,0.161587587
2015/7/26,-0.064917612
2015/7/27,-0.165739545
2015/7/28,0.167518867
2015/7/29,0.040422269
2015/7/30,0.005426479
2015/7/31,-0.048229489
2015/8/1,0.253164079
2015/8/2,-0.053552293
2015/8/3,-0.387964898
2015/8/4,0.03988354
2015/8/5,-0.039602582
2015/8/6,0.043840764
2015/8/7,-0.03595108
2015/8/8,0.389575935
2015/8/9,-0.18529843
2015/8/10,0.070531506
2015/8/11,-0.394269712
2015/8/12,0.306288479
2015/8/13,0.029596777
2015/8/14,-0.020597611
2015/8/15,0.170584588
2015/8/16,-0.171586375
2015/8/17,-0.002467586
2015/8/18,-0.030908194
2015/8/19,-0.168785057
2015/8/20,-0.325654079
2015/8/21,-0.079751725
2015/8/22,0.511491732
2015/8/23,-0.969005673
2015/8/24,0.603997489
2015/8/25,-0.036317701
2015/8/26,0.294829965
2015/8/27,0.300413091
2015/8/28,0.021419613
2015/8/29,0.109463678
2015/8/30,-0.453598327
2015/8/31,0.232032381
2015/9/1,-0.446924349
2015/9/2,0.365127432
2015/9/3,-0.161450527
2015/9/4,-0.113507997
2015/9/5,0.284986024
2015/9/6,-0.071367219
2015/9/7,-0.266220071
2015/9/8,0.290401665
2015/9/9,-0.318370517
2015/9/10,0.265222822
2015/9/11,-0.005865587
2015/9/12,0.210433838
2015/9/13,-0.260617358
2015/9/14,0.048741722
